date,close,open,high,low,volume
01/08/2018,58.6,59.1,59.2,58.4,1902040
31/07/2018,58.5,57.1,59.3,56.8,3438180
30/07/2018,57.3,57,57.4,56.5,1288790
27/07/2018,56.5,56.7,57.3,56.2,979280
26/07/2018,56.7,55.4,56.7,54.5,2107890
25/07/2018,55.3,57.3,57.4,55.3,1257900
24/07/2018,57,57,57.4,56,1683260
23/07/2018,56.6,56.8,58.4,56.5,2618240
20/07/2018,56.8,56.5,57.2,55.1,2204900
19/07/2018,56.8,57.7,57.8,56.7,1704000
18/07/2018,57.5,55.8,57.5,55.8,2473610
17/07/2018,55.8,54,55.8,54,1594780
16/07/2018,54.9,55,55.5,54.3,1302130
13/07/2018,54.8,53.3,54.9,52,1709410
12/07/2018,52.4,51.2,53.6,50.5,1422890
11/07/2018,51.2,51.9,52.5,50.1,3312190
10/07/2018,53.1,55.5,55.5,53.1,1360490
09/07/2018,54,55,56.4,54,1434270
06/07/2018,55,51.1,55.4,50.5,3443450
05/07/2018,52,55.4,55.6,52,2865870
04/07/2018,55.6,56.2,56.5,54.7,2452480
03/07/2018,56,58.3,58.3,56,3355250
02/07/2018,58.1,57.5,58.4,55.4,2846420
29/06/2018,58,57.9,58.7,56.8,1439520
28/06/2018,57.9,57,58.7,57,2114670
27/06/2018,58,59,60.5,58,2602270
26/06/2018,59.3,58.5,59.4,58,1346430
25/06/2018,59.4,60,60.2,58.9,2415610
22/06/2018,58.7,56.1,58.7,55.5,2529630
21/06/2018,57,58,58.2,56.4,1637920
20/06/2018,58.1,57,58.7,56.2,2767440
19/06/2018,56.5,54.5,56.5,54,5149160
18/06/2018,56.5,58.9,59,56,2461860
15/06/2018,59,57.5,59,57.4,2557670
14/06/2018,58.1,59.9,59.9,58,2814340
13/06/2018,59.9,57.6,59.9,57.6,2054850
12/06/2018,58,58.5,59,56.5,3024500
11/06/2018,59,59.4,60.3,58.5,2453150
08/06/2018,59.7,58.3,60.4,58.3,2693680
07/06/2018,58.7,59,59.3,58.4,2538580
06/06/2018,59.1,58.1,59.7,57.6,2183260
05/06/2018,58.6,58.6,59.6,57.7,3532580
04/06/2018,59.3,56.5,59.6,56,3837380
01/06/2018,57,54.1,57.5,53.9,5930650
31/05/2018,54.1,51.5,54.5,51.4,3736400
30/05/2018,52,51,52.8,50.5,4432950
29/05/2018,50,47.5,50,46.8,2610350
28/05/2018,46.8,49,49.6,46.8,4579370
25/05/2018,50,53.4,53.7,50,2718610
24/05/2018,53.3,54.5,54.8,53,1312180
23/05/2018,54.5,53,54.5,52,2045320
22/05/2018,53.4,54.9,55.5,52,3235250
21/05/2018,55.7,56.5,57.4,55.7,1835620
18/05/2018,56.5,56.9,57.1,54.8,2437850
17/05/2018,56.8,57,57.4,56.2,2079780
16/05/2018,57,58.5,58.9,57,2368960
15/05/2018,58.7,58.3,59.8,58.2,2498910
14/05/2018,58.3,58.2,58.5,56.9,1522180
11/05/2018,57.9,56.5,58,54.5,3954360
10/05/2018,56.5,59.9,60.2,55.6,4433980
09/05/2018,59.5,60.7,61,59.5,2787480
08/05/2018,61,61.3,62.2,61,2947160
07/05/2018,62.1,59.8,62.1,59.3,3511210
04/05/2018,59,60.2,60.7,58.9,3234250
03/05/2018,59.6,58.2,59.7,56.9,3451890
02/05/2018,58.2,60.6,61,57.8,2862030
27/04/2018,60,58.2,60.2,58.1,2940100
26/04/2018,58.2,60,61.3,58,4669710
24/04/2018,60,59,60.7,58,4451970
23/04/2018,59.6,64.5,64.8,59.6,2876760
20/04/2018,64,61.2,64,60.7,2996320
19/04/2018,61,64.4,64.5,61,4909820
18/04/2018,64.8,67.8,67.8,64.8,2005410
17/04/2018,67,66,67,65.5,2104840
16/04/2018,65.9,67.2,67.6,65.1,3992890
13/04/2018,67.9,71.3,71.4,67.5,5148440
12/04/2018,70.9,70.9,71.5,70,3262970
11/04/2018,71.2,74.7,74.8,70,3911130
10/04/2018,74.5,74.5,75.3,73.6,5026810
09/04/2018,73.8,73.5,74.3,73.5,2693260
06/04/2018,73.5,73.6,74.8,73.4,2346040
05/04/2018,73.5,73.8,74,72.6,1763710
04/04/2018,73.5,74.5,74.8,73.5,2089100
03/04/2018,74.3,74,75.3,73.5,3500060
02/04/2018,74,71,74,70.8,3055600
30/03/2018,70.5,71,71.4,70.2,1280140
29/03/2018,71,70.8,71.6,70.1,1457380
28/03/2018,70.5,69.9,71.3,69.8,1643300
27/03/2018,71,72.8,72.9,70.6,2322350
26/03/2018,71.9,70,71.9,69.6,1821910
23/03/2018,69.9,68.5,70.7,68.5,4563730
22/03/2018,72,74,74,72,3871380
21/03/2018,73.5,74.5,75.2,73.5,2952180
20/03/2018,74,73.3,74.9,73.3,1836040
19/03/2018,74.3,75.6,76.5,73,2803610
16/03/2018,74.7,74.5,75.3,74.1,5327050
15/03/2018,73.8,73,74.5,72.8,2111990
14/03/2018,73.8,72.6,74.3,72.6,4053460
13/03/2018,72,72,72.6,70.6,2146470
12/03/2018,72,72,73.4,71.5,2899140
09/03/2018,71,70.5,71.5,69.6,3236520
08/03/2018,69.5,69.6,70.4,68.8,1554260
07/03/2018,69.6,71.5,71.9,68.5,2277620
06/03/2018,71.2,69,71.5,67.7,3103920
05/03/2018,68,72,72.5,68,2914810
02/03/2018,71.8,70,72,70,2525210
01/03/2018,71.5,72.6,74.6,71,3615670
28/02/2018,73.8,72.1,75,72,3475320
27/02/2018,73.2,72.9,73.5,71.7,2249770
26/02/2018,71.9,74.3,74.3,71.4,3453290
23/02/2018,71.4,67,71.4,66.7,4825770
22/02/2018,66.8,65.6,67.4,65.4,2352100
21/02/2018,66.2,65,67.9,64.5,2132410
13/02/2018,64,64.3,64.9,63.6,1527780
12/02/2018,63.5,62,63.5,60.7,1847850
09/02/2018,60.9,58.5,62.3,58.5,2408810
08/02/2018,62.9,62.6,63.5,61.5,855160
07/02/2018,63.5,65,65.2,62.8,1635780
06/02/2018,62,58.4,63,58.4,6724710
05/02/2018,62.7,66,67,62.7,2687810
02/02/2018,67.4,67.5,67.5,66.6,1652660
01/02/2018,66.6,66.4,67.8,65.8,2166810
31/01/2018,66.6,67,68.9,66.2,1936300
30/01/2018,67,66.5,67.8,66.2,2818520
29/01/2018,68,70,71.5,67.8,2281360
26/01/2018,69.1,69.4,70,66.5,2617800
25/01/2018,67.7,65.5,67.7,63.8,4788340
24/01/2018,63.3,62,63.4,61.7,2300660
23/01/2018,63.3,62,63.4,61.7,2300660
22/01/2018,63.3,62,63.4,61.7,2300660
19/01/2018,61,58.6,61.4,58.3,2998270
18/01/2018,58.5,56,58.5,55.9,2845720
17/01/2018,56.2,59.8,59.9,56.2,2077670
16/01/2018,60,59.3,60.3,58.8,2218380
15/01/2018,60,58,60,57,2061850
12/01/2018,58,58.8,59.4,58,2525840
11/01/2018,58.8,57.5,58.8,57.2,1766240
10/01/2018,58,58.3,59.2,57.3,2842830
09/01/2018,58.5,56,58.5,54.5,2853160
08/01/2018,55.4,54,55.5,53,2071140
05/01/2018,54,55.1,55.1,53.9,2045200
04/01/2018,55.4,54.6,55.4,54.3,1990040
03/01/2018,54.9,55.5,55.7,54.5,1843870
02/01/2018,55,54,55.4,53.6,2801720
29/12/2017,54.3,54,55,53.9,2753570
28/12/2017,54.1,52.5,54.9,52.5,2321870
27/12/2017,52.5,51.4,52.8,51.1,2214360
26/12/2017,51.4,51.5,51.7,50.5,1701570
25/12/2017,51.4,51,51.7,50.8,1491740
22/12/2017,50.8,48.2,50.8,48.05,4459390
21/12/2017,48.5,49,49.2,48.5,1547200
20/12/2017,49,47.75,49.35,47.4,2587600
19/12/2017,47.75,47.9,48.45,47.35,1958480
18/12/2017,47.8,47,48.2,46.6,2349430
15/12/2017,46,45.3,46.5,45.2,2574240
14/12/2017,45.3,44,45.5,43.9,2166840
13/12/2017,44,45,45.1,43.7,1177420
12/12/2017,44.7,45.3,45.4,41.6,2440280
11/12/2017,44.6,46,46.9,44.6,1447900
08/12/2017,47.05,47.6,47.6,46.5,1517040
07/12/2017,47.6,48,48,46.7,2737090
06/12/2017,48,48,48.3,47.1,2102030
05/12/2017,48.1,49,50,48.1,1975550
04/12/2017,49.4,48.5,49.4,48.3,1939700
01/12/2017,48.3,48.6,48.9,48,2085760
30/11/2017,48.5,48.8,50,48.5,1997210
29/11/2017,49,48,49,48,1440140
28/11/2017,48.2,48.1,48.4,47.5,1712500
27/11/2017,47.9,47.5,48.2,46.8,2242960
24/11/2017,47.4,47.5,47.7,47,1363450
23/11/2017,47.9,48.7,48.9,46.85,2666680
22/11/2017,48,46.7,48.1,46.7,3116060
21/11/2017,46.7,45.3,47.7,45.2,3799100
20/11/2017,45,44.4,45,44.35,1783000
17/11/2017,44.4,44.8,45.15,44.35,2063770
16/11/2017,44.7,43.75,44.85,43.6,2077060
15/11/2017,43.6,43.8,44.2,43.6,1304050
14/11/2017,43.8,43.5,44.4,43.35,3008230
13/11/2017,43.4,43.5,43.7,43,2104320
10/11/2017,43.1,43,43.65,42.8,2187370
09/11/2017,43.1,43.8,44,43.1,1899000
08/11/2017,43.6,42.45,44,42.2,2695690
07/11/2017,42.45,42.5,42.85,42,1712940
06/11/2017,42.5,42,42.9,41.8,2460760
03/11/2017,41.9,41.4,41.9,40.8,1399850
02/11/2017,41.1,41.6,42.9,41.1,2341010
01/11/2017,41.6,41.6,41.85,41.35,2149100
31/10/2017,41.4,41.9,42.1,41.4,1322440
30/10/2017,41.9,42.3,42.95,41.5,3808170
27/10/2017,42,40.6,42,40.45,2347090
26/10/2017,40.6,40.75,41.25,40.2,1922030
25/10/2017,40.75,40,40.8,40,1385130
24/10/2017,40,39.85,40.3,39.5,1212060
23/10/2017,39.9,40.85,41.35,39.8,3568930
20/10/2017,40.8,40.55,41.3,40.45,2072400
19/10/2017,40.5,40.7,40.9,40.3,1482080
18/10/2017,40.7,40.9,41.4,40.55,3053330
17/10/2017,41,39.05,41,39,3062770
16/10/2017,39.05,39.45,39.5,38.95,1542490
13/10/2017,39.35,39,39.4,39,1784200
12/10/2017,39.05,39.35,39.45,39.05,1767480
11/10/2017,39.35,39.8,39.9,39.05,2835470
10/10/2017,39.65,39.4,39.9,39.2,2583380
09/10/2017,39.4,39.35,39.65,39.15,2500440
06/10/2017,39.05,38.7,39.15,38.65,2322970
05/10/2017,38.7,39.2,40,38.7,5672370
04/10/2017,38.8,37.5,39,37.5,4836990
03/10/2017,37.6,37.8,37.9,37.5,1417210
02/10/2017,37.65,37.8,38.1,37.45,1205110
29/09/2017,37.6,37.25,37.75,37.2,2122200
28/09/2017,37.25,37.2,37.45,37.1,1573710
27/09/2017,37.7,37.9,38,37.55,1377060
26/09/2017,37.65,37.5,37.7,37.3,871840
25/09/2017,37.5,37.65,37.75,37.45,1065690
22/09/2017,37.65,37.85,37.9,37.6,1052820
21/09/2017,37.85,37.8,38.15,37.75,1215880
20/09/2017,37.8,37.45,38.2,37.45,2168280
19/09/2017,37.4,37.45,37.8,37.3,2466890
18/09/2017,37.6,38,38.2,37.6,2916990
15/09/2017,38,38.3,38.4,37.9,2799180
14/09/2017,38.3,38.2,38.5,37.9,2432090
13/09/2017,38.05,38.4,38.4,37.9,774520
12/09/2017,38.05,37.7,38.1,37.65,1335940
11/09/2017,37.7,37.8,38.9,37.7,1858420
08/09/2017,37.7,38,38.1,37.65,753240
07/09/2017,37.7,38,38,37.7,558020
06/09/2017,38,38,38.15,37.75,589690
05/09/2017,38.15,37.4,38.3,37.15,1658120
01/09/2017,37.45,37.4,37.5,37.1,655740
31/08/2017,37.1,36.9,37.45,36.85,697650
30/08/2017,37,37,37.3,36.9,697600
29/08/2017,37,37.45,37.5,37,691290
28/08/2017,37.45,37.15,37.45,37.1,664630
25/08/2017,37.15,37.05,37.4,37.05,222240
24/08/2017,37.05,37.15,37.45,36.9,326460
23/08/2017,37,37,37.1,36.7,551970
22/08/2017,36.9,37.5,37.5,36.9,547530
21/08/2017,37.4,37.5,37.6,37.3,257280
18/08/2017,37.5,37.3,37.8,37.15,720950
17/08/2017,37.3,37.5,37.55,37.15,521370
16/08/2017,37.5,37.3,37.55,37.25,388380
15/08/2017,37.3,37.6,37.7,37.3,466800
14/08/2017,37.65,37.45,37.8,37.45,363540
11/08/2017,37.45,37.45,37.55,37.3,580140
10/08/2017,37.7,37.55,37.9,37.45,1133390
09/08/2017,37.8,38.4,38.55,37.5,1227850
08/08/2017,38.4,38.05,38.95,38.05,1643470
07/08/2017,38.05,38.1,38.25,38,748690
04/08/2017,38.05,38.3,38.4,37.9,755620
03/08/2017,38.3,38.3,38.4,38.1,677010
02/08/2017,38.1,38.1,38.4,37.8,943280
01/08/2017,38.4,38,38.7,38,1710380
31/07/2017,37.75,37.5,37.9,37.5,1097910
28/07/2017,37.5,37.35,37.8,37.3,1246630
27/07/2017,37.35,37.4,37.55,37.35,661800
26/07/2017,37.4,37.45,37.6,37.2,1240450
25/07/2017,37.3,37.2,37.35,36.9,483370
24/07/2017,37.3,37,37.3,36.65,914230
21/07/2017,37,37.6,37.7,37,1058900
