date,close,open,high,low,volume
15/11/2018,91.7,94.7,94.7,90.9,689540
14/11/2018,94.7,93.6,95.1,93.4,450950
13/11/2018,93.3,94.8,95,93.3,598800
12/11/2018,95.9,95.8,96,95.5,720990
09/11/2018,95.9,95,96,95,602570
08/11/2018,96,96,96.6,95.8,383030
07/11/2018,96,96.3,96.3,94.3,608180
06/11/2018,95.8,96,96.5,95.4,597170
05/11/2018,96,96,96.5,95.1,664130
02/11/2018,96,95.6,96.7,95.5,1484060
01/11/2018,95.5,96.5,96.8,95,1225020
31/10/2018,97.2,95.6,97.2,95.6,582470
30/10/2018,96.6,95.5,97.3,95.5,452080
29/10/2018,97.2,95.5,97.7,95,643700
26/10/2018,96.4,96.2,98,95.7,653110
25/10/2018,96.8,96.7,98.2,94.6,404050
24/10/2018,98.8,98,99.5,97.5,681290
23/10/2018,99,98.1,99,96.5,608750
22/10/2018,99.1,98.1,99.6,97.1,536930
19/10/2018,99.1,96.5,99.1,96.5,915870
18/10/2018,99.1,98.5,99.2,98,896140
17/10/2018,99,98.6,99.6,98.2,1310430
16/10/2018,98.6,95,98.6,94.2,1290720
15/10/2018,95.5,96,96.7,94,720500
12/10/2018,96,93,97.5,92.8,1735640
11/10/2018,93,92,94.4,89.9,3276160
10/10/2018,96.6,96.6,97.7,96.5,1213420
09/10/2018,96.6,96.6,97.3,96.1,944590
08/10/2018,96.6,97.6,98.3,96.4,1766100
05/10/2018,98.5,99.9,100.4,98.3,1868060
04/10/2018,100.6,102.1,102.2,100.6,635150
03/10/2018,102.2,103,103.9,101.8,860380
02/10/2018,102,99.9,102,99.7,1206840
01/10/2018,98.5,99.9,102.5,98.5,1269410
28/09/2018,98.3,98.6,98.6,98.1,857910
27/09/2018,98.6,99,99.2,98.5,497460
26/09/2018,99,99.2,99.3,99,505180
25/09/2018,99.5,99.6,99.6,99.2,426720
24/09/2018,99.6,98.6,100.3,98.6,323610
21/09/2018,98.6,98.5,99.3,98.4,1584980
20/09/2018,98.5,98.2,99.5,98.2,449420
19/09/2018,98.6,99.6,100.1,98.5,416470
18/09/2018,99.6,98,99.6,98,613160
17/09/2018,99,100.8,101.3,98.9,465650
14/09/2018,101,100.3,101.5,99.7,614370
13/09/2018,100.3,101.4,102,100,422540
12/09/2018,101.4,101.2,103,101.1,629760
11/09/2018,101.2,98.5,102,98.5,726370
10/09/2018,99.3,98,99.9,97.1,896450
07/09/2018,97.2,96.1,99,96.1,698830
06/09/2018,98,101.1,101.5,98,918940
05/09/2018,101.5,102.1,102.8,101.5,610500
04/09/2018,102.1,103.4,103.4,102,343190
31/08/2018,103.4,103.3,103.4,101.5,1811230
30/08/2018,103.4,103,103.5,102.5,1172570
29/08/2018,103,104.2,104.2,103,533720
28/08/2018,104.2,103.6,104.5,103.5,617620
27/08/2018,104.2,104.1,105,103.8,839360
24/08/2018,104,104.6,105.1,103.8,1261290
23/08/2018,104.6,104,105.9,104,1808380
22/08/2018,103.6,103.5,104.1,103.1,795470
21/08/2018,103.1,102.5,103.1,102,1041910
20/08/2018,102.6,102,103.2,102,1000000
17/08/2018,102.3,102.1,103.3,102.1,449530
16/08/2018,102.1,100.1,103.1,100.1,1225510
15/08/2018,101.9,103.3,104.3,101.9,644810
14/08/2018,103.3,102.8,104.6,101.8,1167680
13/08/2018,102.8,103.5,104,101.4,1730190
10/08/2018,104.2,104,105.8,101,1885210
09/08/2018,104.2,107.5,108.7,104,2819240
08/08/2018,108.8,109.7,110.9,108.6,1617710
07/08/2018,110.3,111,111.5,109.9,1103740
06/08/2018,111.5,112,112.9,109.7,3669840
03/08/2018,111.5,107.2,112.7,106.8,2531090
02/08/2018,106.7,106.5,107.4,106.2,1629230
01/08/2018,106.5,106.3,107.5,106.3,1267370
31/07/2018,106.4,106,107.5,105.1,1902890
30/07/2018,106.4,106.9,106.9,105.6,1158200
27/07/2018,106.4,107,107.6,105.7,1187590
26/07/2018,106,105.3,106,104.4,1297470
25/07/2018,104.4,104.5,105.4,104.1,755570
24/07/2018,104.5,104,105.6,104,1493670
23/07/2018,104,103.6,106.5,103.3,1255810
20/07/2018,103.6,103.5,105,103.5,2187590
19/07/2018,105,105,105,103,2857260
18/07/2018,105,102.5,105,102.5,1918790
17/07/2018,104,101,104.1,100,1207830
16/07/2018,102.5,103.5,103.5,101,1073340
13/07/2018,103,104.2,104.2,102,564040
12/07/2018,103,104.9,104.9,101,357710
11/07/2018,104.5,101,104.5,100,840120
10/07/2018,103,105,106.5,102.5,795030
09/07/2018,105,106,107.3,104.5,701990
06/07/2018,106.2,104.1,106.9,101.8,1431620
05/07/2018,106.5,104,107.3,103,1420080
04/07/2018,105,99.5,106.2,97,1971010
03/07/2018,99.7,106,107,99.7,3208300
02/07/2018,107.2,106,108.5,106,953200
29/06/2018,107.5,105.1,107.8,105.1,2967850
28/06/2018,107.5,105,110.7,105,1193310
27/06/2018,125.2,123.6,125.8,123,1177710
26/06/2018,123.6,121,123.9,120.5,762320
25/06/2018,123.7,125,125,123,562650
22/06/2018,122.8,124.9,124.9,122.8,461620
21/06/2018,124,125,125.5,122.2,1700320
20/06/2018,125,123,125,122,872130
19/06/2018,123,121.5,123.4,117,2024310
18/06/2018,123.4,123.5,125.9,122.5,1411490
15/06/2018,123.5,126,126.8,123.5,4770820
14/06/2018,126,128.8,128.8,125,1578250
13/06/2018,128,122,128,122,1823230
12/06/2018,124.4,120,124.6,120,2086270
11/06/2018,124.3,124,125.1,122.5,1434380
08/06/2018,124.2,123.2,124.8,122,902860
07/06/2018,124.2,124.9,125.4,123.2,1475370
06/06/2018,124.1,120,124.4,117.7,2053160
05/06/2018,121.1,120,122.5,118.6,996780
04/06/2018,120,119,120.1,118.5,901540
01/06/2018,119,115.4,120,114,4227700
31/05/2018,116,111.8,117,109,5567040
30/05/2018,111,110.1,113.5,105.9,1827510
29/05/2018,110,106.3,111.5,106.1,1698700
28/05/2018,111,102.8,111,102.5,3154610
25/05/2018,107,104.1,110.6,100,2656380
24/05/2018,104.1,103,105,101.2,3032350
23/05/2018,103,101.1,106.3,99,2360420
22/05/2018,106.4,110.8,114,106.4,2590430
21/05/2018,114.4,123,123,114.4,2255860
18/05/2018,123,122,125,120.5,1523270
17/05/2018,123,130,130,122.5,1772650
16/05/2018,130,132,132,128,879210
15/05/2018,132,133.9,134.8,132,1713520
14/05/2018,132,125,132,125,2365670
11/05/2018,124,120.1,124,119,1349320
10/05/2018,120.5,122.8,122.8,120,1783310
09/05/2018,122.9,122.6,123.2,121.8,1685960
08/05/2018,123.9,124.6,124.9,123.2,1263540
07/05/2018,124.6,123.5,125,123.5,1059820
04/05/2018,124.5,121.6,125.1,120,3214170
03/05/2018,123,123,126.1,122,4728270
02/05/2018,125,126,126,120,5204200
27/04/2018,126,122.7,126.5,122,3015830
26/04/2018,127,126.8,127,122.9,6434440
24/04/2018,127,120,127.6,118.2,8719000
23/04/2018,123.2,124,125.8,122.8,4834080
20/04/2018,123,120.9,124.5,113.9,4165000
