date,close,open,high,low,volume
10/04/2018,64.4,63.6,65.2,63.5,4490010
09/04/2018,63.4,62.6,63.6,62.6,1502210
06/04/2018,62.7,64.2,64.3,62.7,3614250
05/04/2018,63,62,63.7,61.5,2874100
04/04/2018,61.7,62,62.8,61.6,2297950
03/04/2018,61.2,61.2,61.4,60.9,1140770
02/04/2018,61.5,61.5,61.7,61,2194820
30/03/2018,60.7,59.6,61.3,59.4,2434830
29/03/2018,59.5,59.4,59.7,59,827280
28/03/2018,58.9,59.1,59.4,58.8,660440
27/03/2018,59.5,59.9,60.1,59,993260
26/03/2018,59.2,58.6,59.4,58.6,940840
23/03/2018,58.6,59,59.6,58,2833670
22/03/2018,60.1,61,61.4,60.1,1264760
21/03/2018,61,61.3,61.8,61,999470
20/03/2018,61.3,60.2,62.3,60,2921440
19/03/2018,60.5,60.2,60.6,59.9,1337110
16/03/2018,60.1,60.6,60.8,59.7,1426890
15/03/2018,60.6,61,61.1,60.3,1189330
14/03/2018,60.8,60.1,60.8,59.4,2070230
13/03/2018,60.1,61.2,61.2,59.4,4159670
12/03/2018,61.4,62,62.6,61.4,1611250
09/03/2018,61.6,62.7,63.1,61.5,2068410
08/03/2018,62.2,62,62.5,61.3,1316600
07/03/2018,62.2,63.5,63.7,61.5,2000410
06/03/2018,63.3,62.5,63.3,61.7,2577540
05/03/2018,61.5,61.3,64.5,61.3,6025340
02/03/2018,61.1,60.5,61.3,60,1840930
01/03/2018,60.8,59.4,61.2,59.1,2114250
28/02/2018,59.8,59.2,60.4,59.1,1835710
27/02/2018,59.8,60.7,60.8,59.5,1415610
26/02/2018,60.4,61,61.8,60.4,2467750
23/02/2018,60.5,58.5,60.6,58.5,1607200
22/02/2018,58.4,59.3,59.5,58.2,1433060
21/02/2018,59.4,60.1,60.3,59,1574450
13/02/2018,59,58.2,59.3,57.8,1448350
12/02/2018,57.1,56.3,57.1,54.5,1166010
09/02/2018,55,52.5,55,52.5,2139970
08/02/2018,55.2,56,57,55,1709000
07/02/2018,56.6,57,57.3,56,1872960
06/02/2018,54.2,53.2,56.5,53.2,5312890
05/02/2018,57.1,60.1,60.8,57.1,3754890
02/02/2018,61,61.6,61.8,60.5,1671290
01/02/2018,61.6,62.9,63.5,61.6,2086500
31/01/2018,62.9,64.8,65.5,62.9,3988780
30/01/2018,64,59.8,64,59.5,4719350
29/01/2018,60.3,60.9,61.9,59.9,1335440
26/01/2018,60.8,62,62,60.5,1631780
25/01/2018,61.1,61.5,62.6,60.9,5368250
24/01/2018,60.9,59.5,61.5,59.4,2509650
23/01/2018,60.9,59.5,61.5,59.4,2509650
22/01/2018,60.9,59.5,61.5,59.4,2509650
19/01/2018,58.9,59,59.8,58.9,2002690
18/01/2018,59,58.3,59,57.6,3314290
17/01/2018,59,61,61.1,59,2259230
